game_id,name,difficulty,mechanism,bank_size,board_size,generator_params,AI_policy,rating_metric,observed_distribution,overlap,meaningfully_distinct,finding,fix
3,NUMBER MIND,HARD,5 positions × 8 symbols,30,N/A; see generator_params,"{""clue_count"":{""max"":14,""median"":11.5,""min"":6},""domain"":32768,""zero_match_clues"":{""max"":10,""median"":5.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""clue_count"":{""max"":14,""median"":11.5,""min"":6},""domain"":32768,""zero_match_clues"":{""max"":10,""median"":5.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
3,NUMBER MIND,MASTER,6 positions × 8 symbols; up to 13 clues,30,N/A; see generator_params,"{""clue_count"":{""max"":13,""median"":12.0,""min"":8},""domain"":262144,""zero_match_clues"":{""max"":7,""median"":4.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""clue_count"":{""max"":13,""median"":12.0,""min"":8},""domain"":262144,""zero_match_clues"":{""max"":7,""median"":4.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
4,CLUE LOCK,EASY,domain 0..99; range/parity/digit sum/two remainders/contains digit,30,N/A; see generator_params,"{""domain"":100,""modulus_values"":[3,4,5,7,9,11,13,17],""public_range_width"":{""max"":99,""median"":72.5,""min"":52}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""domain"":100,""modulus_values"":[3,4,5,7,9,11,13,17],""public_range_width"":{""max"":99,""median"":72.5,""min"":52}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
4,CLUE LOCK,NORMAL,domain 0..499; contains-digit clue removed,30,N/A; see generator_params,"{""domain"":500,""modulus_values"":[3,4,5,7,9,11,13,17],""public_range_width"":{""max"":471,""median"":377.0,""min"":242}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""domain"":500,""modulus_values"":[3,4,5,7,9,11,13,17],""public_range_width"":{""max"":471,""median"":377.0,""min"":242}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
4,CLUE LOCK,HARD,"domain 0..999; range and two distinct large moduli, no parity or digit sum",30,N/A; see generator_params,"{""domain"":1000,""modulus_values"":[17,19,23,29,31,37],""public_range_width"":{""max"":973,""median"":732.5,""min"":573}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""domain"":1000,""modulus_values"":[17,19,23,29,31,37],""public_range_width"":{""max"":973,""median"":732.5,""min"":573}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
4,CLUE LOCK,MASTER,domain 0..9999; three remainders plus digit sum; every clue essential,30,N/A; see generator_params,"{""domain"":10000,""modulus_values"":[7,11,13,17,19],""omit_one_clue_candidates"":{""max"":13,""median"":4.0,""min"":2},""public_range_width"":{""max"":10000,""median"":10000.0,""min"":10000}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""domain"":10000,""modulus_values"":[7,11,13,17,19],""omit_one_clue_candidates"":{""max"":13,""median"":4.0,""min"":2},""public_range_width"":{""max"":10000,""median"":10000.0,""min"":10000}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
5,SEQUENCE DETECTIVE,EASY,AP/GP/shared-step alternating grammar,30,N/A; see generator_params,"{""families"":{""0"":5,""4"":25},""max_absolute_term"":{""max"":39,""median"":11.0,""min"":3}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""families"":{""0"":5,""4"":25},""max_absolute_term"":{""max"":39,""median"":11.0,""min"":3}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: E and N each have 25/30 shared-step alternating puzzles; median largest term both11. E bank contains no GP puzzle despite allowed family.,No demonstrated selector no-op; generation and legacy banks preserved
5,SEQUENCE DETECTIVE,NORMAL,quadratic/Fibonacci/shared-step alternating grammar,30,N/A; see generator_params,"{""families"":{""2"":2,""3"":3,""4"":25},""max_absolute_term"":{""max"":96,""median"":11.0,""min"":5}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""families"":{""2"":2,""3"":3,""4"":25},""max_absolute_term"":{""max"":96,""median"":11.0,""min"":5}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: E and N each have 25/30 shared-step alternating puzzles; median largest term both11. E bank contains no GP puzzle despite allowed family.,No demonstrated selector no-op; generation and legacy banks preserved
5,SEQUENCE DETECTIVE,HARD,quadratic/Fibonacci/affine recurrence grammar,30,N/A; see generator_params,"{""families"":{""2"":14,""3"":4,""5"":12},""max_absolute_term"":{""max"":3644,""median"":82.5,""min"":2}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""families"":{""2"":14,""3"":4,""5"":12},""max_absolute_term"":{""max"":3644,""median"":82.5,""min"":2}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
5,SEQUENCE DETECTIVE,MASTER,second-order affine recurrence or unequal-step alternating grammar; 15 each,30,N/A; see generator_params,"{""families"":{""6"":15,""7"":15},""max_absolute_term"":{""max"":989,""median"":17.5,""min"":2}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""families"":{""6"":15,""7"":15},""max_absolute_term"":{""max"":989,""median"":17.5,""min"":2}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
6,MAKE TARGET,EASY,4 cards; constructive a*b+c-d,0,N/A; see generator_params,"{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":501,""median"":10.0,""min"":1},""cards"":4,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":501,""median"":10.0,""min"":1},""cards"":4,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}},""modes"":1,""unique"":1208,""unique_bank"":null,""validated_initializations"":1768}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: constructive witness complexity is not a lower bound on all valid solutions; E/N both four cards.,No demonstrated selector no-op; generation and legacy banks preserved
6,MAKE TARGET,NORMAL,4 cards; constructive (a*b-c)/d,0,N/A; see generator_params,"{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":801,""median"":10.0,""min"":1},""cards"":4,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":801,""median"":10.0,""min"":1},""cards"":4,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}},""modes"":1,""unique"":1190,""unique_bank"":null,""validated_initializations"":1768}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: constructive witness complexity is not a lower bound on all valid solutions; E/N both four cards.,No demonstrated selector no-op; generation and legacy banks preserved
6,MAKE TARGET,HARD,5 cards; constructive (a*b-c)/(d+e),0,N/A; see generator_params,"{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":901,""median"":9.0,""min"":1},""cards"":5,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":901,""median"":9.0,""min"":1},""cards"":5,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":0,""median"":0.0,""min"":0}},""modes"":1,""unique"":1519,""unique_bank"":null,""validated_initializations"":1768}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: constructive witness complexity is not a lower bound on all valid solutions; E/N both four cards.,No demonstrated selector no-op; generation and legacy banks preserved
6,MAKE TARGET,MASTER,6 cards; constructive (a*b-c)/d+e/f; witness has fractional intermediates,0,N/A; see generator_params,"{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":969,""median"":12.0,""min"":1},""cards"":6,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":2,""median"":2.0,""min"":2}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""all_targets_at_fixed_seed"":1000,""arithmetic_rules"":""all cards exactly once; arbitrary valid exact rational steps"",""card_value"":{""max"":969,""median"":12.0,""min"":1},""cards"":6,""fraction_required_for_every_solution"":""NOT PROVEN"",""seed_sample_targets"":[1,24,1000],""seed_samples_per_target"":256,""target_domain_tested"":[1,1000],""witness_fractional_intermediates"":{""max"":2,""median"":2.0,""min"":2}},""modes"":1,""unique"":1731,""unique_bank"":null,""validated_initializations"":1768}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: constructive witness complexity is not a lower bound on all valid solutions; E/N both four cards.,No demonstrated selector no-op; generation and legacy banks preserved
7,COUNTDOWN,EASY,6 cards; 1 large + 5 small,30,N/A; see generator_params,"{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":1,""median"":1.0,""min"":1},""minimum_cards_exhaustive"":{""max"":5,""median"":4.0,""min"":2},""minimum_cards_histogram"":{""2"":2,""3"":12,""4"":13,""5"":3},""one_card_puzzle_ids"":[],""target"":{""max"":910,""median"":352.0,""min"":101},""witness_card_count"":{""max"":6,""median"":5.0,""min"":3},""witness_division_count"":{""max"":2,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":1,""median"":1.0,""min"":1},""minimum_cards_exhaustive"":{""max"":5,""median"":4.0,""min"":2},""minimum_cards_histogram"":{""2"":2,""3"":12,""4"":13,""5"":3},""one_card_puzzle_ids"":[],""target"":{""max"":910,""median"":352.0,""min"":101},""witness_card_count"":{""max"":6,""median"":5.0,""min"":3},""witness_division_count"":{""max"":2,""median"":0.0,""min"":0}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: large-card composition differs; minimum-card distributions overlap and do not increase monotonically.,No demonstrated selector no-op; generation and legacy banks preserved
